rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart
30,"spotify:track:0Y2QAFRdkzrNAJDPJ5lATF","Fred again.., Sammy Virji, Reggie","Talk of the Town","Atlantic Records UK",16,29,10
31,"spotify:track:6sGIMrtIzQjdzNndVxe397","Olivia Dean","So Easy (To Fall In Love)","PLG - Capitol",3,31,45
32,"spotify:track:0nRYjxQQCzMVyjgpTtKjLt","John Summit, Subtronics, Inéz","crystallized (feat. Inéz) - Subtronics Remix","Experts Only/Darkroom Records",28,30,3
33,"spotify:track:23ZdNaFSfH7VdSVU4U0Agb","SIENNA SPIRO","You Stole The Show","Capitol Records",16,34,34
34,"spotify:track:0620OecAlwJQxWieRW4L9s","Labi Siffre","Bless the Telephone","Edsel",7,35,49
35,"spotify:track:4ThbwJaIWVxXZ1qJaHQBCz","Cody Johnson","Travelin' Soldier","CoJo Music/Warner Records Nashville",29,33,3
36,"spotify:track:312z6PZ8wwREck8613PkJk","Olivia Dean","A Couple Minutes","PLG - Capitol",11,36,45
37,"spotify:track:09xhawlPUifhftf8zuie7w","Buckshot, fakemink","Fever","-",26,37,15
38,"spotify:track:7mcxFbFdnFFbWwPflgqqKE","EsDeeKid","Rottweiler","Lizzy Records",34,42,36
39,"spotify:track:2cMO1LFtsP2EBjWgG4JHZl","Joshua Slone","Your Place At My Place","Max Kang LLC",10,39,10
40,"spotify:track:1eXaJCN3pBxK12D4NjJwBP","Kelsea Ballerini","I Sit In Parks","Black River Entertainment",32,38,3
41,"spotify:track:53rDh4kB1LJyLgnxm8K6Np","Fred again.., CA7RIEL & Paco Amoroso","Beto’s Horns - fred remix","Atlantic Records UK",41,41,3
42,"spotify:track:7lCpzHEIIBf7BQKfRyRP01","Big L, Mac Miller, Pale Jay","Forever","Mass Appeal",15,48,10
43,"spotify:track:4ORvXsPK9AJmDzm36BYcdy","ROSALÍA","Reliquia","Columbia",36,40,3
44,"spotify:track:3SEVc1OeCtFmVVJPtWzq3P","Hazbin Hotel, Patina Miller, Liz Callaway, Sam Haft, Andrew Underberg","Sera's Confession","Atlantic Records",28,45,10
45,"spotify:track:2o4kFMrOGhXwdpKd2ZUaKs","Devi McCallion","I Want Things to Be Beautiful","Devi McCallion",10,46,19
46,"spotify:track:5uz5v1hRZLjNGatcPtOWUv","EsDeeKid, fakemink, Rico Ace","LV Sandals","Lizzy Records",43,47,38
47,"spotify:track:2T8yuUKl1nhmtaIocqWo4i","ROSALÍA, Björk, Yves Tumor","Berghain","Columbia",3,43,17
48,"spotify:track:6XYSYV2avqhOl9BRexar7S","Hazbin Hotel, Leslie Kritzer, Amir Talai, Sam Haft, Andrew Underberg","Don't You Forget","Atlantic Records",48,53,3
49,"spotify:track:1BeyjPUWYbHcthHjusrejv","Hilary Duff","Mature","Atlantic Records",40,44,3
50,"spotify:track:79bWkyd08EFDO0ZZuu7IRT","Furacão 2000, Nyasia","Mimosa 2000","Furacao 2000",3,51,60
51,"spotify:track:6eo9UbUfjybG8VQLYspVO6","Doc Raven","My Ride or Die","Doc Raven",5,49,21
52,"spotify:track:53CnanPxbhecUExO9EIinJ","Hazbin Hotel, Kimiko Glenn, Erika Henningsen, Sam Haft, Andrew Underberg","Clean It Up!","Atlantic Records",52,56,3
53,"spotify:track:4GWl0BXvpoZL6B8e1f6Nn9","Hazbin Hotel, Christian Borle, Amir Talai, Joel Perez, Sam Haft, Andrew Underberg","Don't You Forget (Reprise)","Atlantic Records",53,54,3
54,"spotify:track:4VxTzYm00mg82MuoT35Ja7","Tyla","CHANEL","Epic",41,55,17
55,"spotify:track:3Vd4fHzwS6pBS3muymjiDi","Olivia Dean","Let Alone The One You Love","PLG - Capitol",13,50,45
56,"spotify:track:0MP4nheWCUxoztTK5yqb3g","Cynthia Erivo, Ariana Grande","Get Happy / Happy Days Are Here Again - Live from the Dolby Theatre","Wicked Soundtrack",44,52,3
57,"spotify:track:5KP2SYUSHbLbLsjw40VeH8","Hazbin Hotel, Alex Brightman, Krystina Alabado, Blake Roman, Sam Haft, Andrew Underberg","Piss (A Love Song)","Atlantic Records",57,57,3
58,"spotify:track:2NLOyWzztMiW5FmNhD83K6","EsDeeKid, Rico Ace","Mist","Lizzy Records",49,64,9
59,"spotify:track:5Jh7Gc5aF6leolD64pNRD5","overtonight throwaways, overtonight","mirrors demo","TOKYOSLONDON",41,60,16
60,"spotify:track:0il7LJ828XyPqyvNx9cF5S","Smerz","You got time and I got money","Escho",43,63,8
61,"spotify:track:3vJIaiTIHxHhYafTSPNiH4","Disney, Shakira","Zoo","Walt Disney Records",61,86,4
62,"spotify:track:66sO5P0JhejhELU35RYVKV","Hazbin Hotel, Christian Borle, Joel Perez, Lilli Cooper, Sam Haft, Andrew Underberg","Once We Get Up There","Atlantic Records",44,66,10
63,"spotify:track:2Hg6JQr80HfDgb8T9s28g1","YEONJUN, Daniela Avanzini","Let Me Tell You (feat. Daniela of KATSEYE)","Republic Records - TXT",58,61,3
64,"spotify:track:6PlBKImSl4AZoxBU7F649D","Taylor Swift, Loud Luxury","The Fate of Ophelia - Loud Luxury Remix","Taylor Swift",64,65,3
65,"spotify:track:0br9vcQnqeqp9PKCGsrxAF","Wicked Movie Cast, Ariana Grande, Andy Nyman, Courtney-Mae Briggs, Jeff Goldblum, Sharon D. Clarke, Jenna Boyd","No One Mourns the Wicked","Universal Studios and Republic Records",11,58,48
66,"spotify:track:2pPNAgcdgtRMwK9mPYMK7O","EsDeeKid, Rico Ace","Cali Man","Lizzy Records",35,67,42
67,"spotify:track:1g9GiiPPaL7KcDHlDzu7lT","Geese","Au Pays du Cocaine","Partisan / Play It Again Sam",7,68,20
68,"spotify:track:16Z0an8D4BJNm3VbWWpTnv","Joji","Past Won't Leave My Bed","Palace Creek",57,62,3
69,"spotify:track:730GhznXWwH802wyHVJoqi","Thomas Day","lost myself 4 u","Arista Records",32,59,10
70,"spotify:track:0T4lcpAprQ7CXjNdYCZ3vp","Jack Johnson, Hermanos Gutiérrez","Hold On To The Light","Jack Johnson Soundtrack",70,70,3
71,"spotify:track:57NAjcecxq276BAZyMuotB","Hariroc, Lil Tony Official","icon","squid1luh",71,73,3
72,"spotify:track:72YttnPRxyHe8zCG50jYhj","ZXKAI, slxughter","NO BATIDÃO - Slowed","ZXKAI",61,77,11
73,"spotify:track:2uPMsTEKx79gJ8rB3AcT0v","Bizarrap, Daddy Yankee","Daddy Yankee: Bzrp Music Sessions, Vol. 0/66","DALE PLAY Records",69,72,3
74,"spotify:track:6rrqv0WwGTTlavCNqVGd6A","Mumford & Sons, Hozier","Rubber Band Man (with Hozier)","Glassnote Entertainment Group LLC",15,75,17
75,"spotify:track:6YrkatdanWuKHmF4mBxX2i","Stephen Wilson Jr.","I'm A Song - Live at The Print Shop","Big Loud Records",75,90,3
76,"spotify:track:6DH13QYXK7lKkYHSU88N48","Daniel Caesar","Who Knows","Republic Records",16,78,17
77,"spotify:track:7cqKXq3pKFXjd61mBUumZG","Jay Lewis, Gorilla Mode Dezz, Mista Cain","I Hope","Jay Lewis",18,79,36
78,"spotify:track:7JKpS5rKsKWeVPZ0ojBqv9","ROSALÍA","La Yugular","Columbia",67,74,3
79,"spotify:track:0IPBqw1WDfXfkzJgQaYOl9","nate band","Miss Your Body","Thirty Knots / moshpit projects.",4,71,23
80,"spotify:track:70lG2bwQd9OIaoIWbg0eMH","Black Gryph0n, Baasik","Upside Down","Black Gryph0n & Baasik",48,83,10
81,"spotify:track:12UlWZFRx4feuHwmy5CN2a","Jamie MacDonald","Left It In The River","Capitol CMG Label Group",14,81,83
82,"spotify:track:5QMrH5nszZZR3nefIj6Mar","Cynthia Erivo, Ariana Grande","Defying Gravity","Universal Studios and Republic Records",5,82,47
83,"spotify:track:6tHVEMyRfxGgQuXRzl2yOF","Olivia Dean","I've Seen It","PLG - Capitol",23,84,45
84,"spotify:track:0hVZnH3f3xmudcfCFLdw1V","ROSALÍA","Mio Cristo Piange Diamanti","Columbia",70,76,3
85,"spotify:track:1NXbNEAcPvY5G1xvfN57aA","Tame Impala","Dracula","Columbia",1,85,45
86,"spotify:track:5vHs45P0mSuzl9rDRcliLK","Buck Owens & The Buckaroos","Made In Japan","Omnivore Recordings",28,89,79
87,"spotify:track:2JH26hQtnqWUNnQET8o2N1","ROSALÍA","Divinize","Columbia",76,80,3
88,"spotify:track:59hVbgr8rfYkDbHfr8RcGI","Kenshi Yonezu","IRIS OUT","Sony Music Labels Inc.",3,87,40
89,"spotify:track:7B6Jgw1FIgyfIidQiIftJ3","Hazbin Hotel, Erika Henningsen, Christian Borle, Joel Perez, Lilli Cooper, Stephanie Beatriz, Kevin Del Aguila, Krystina Alabado, Keith David, Kimiko Glenn, Amir Talai, Sam Haft, Andrew Underberg","Hazbin Guarantee (Trust Us)","Atlantic Records",31,93,26
90,"spotify:track:5SruEBX3KpgpDvEcIuN53P","Olivia Dean","Baby Steps","PLG - Capitol",16,91,45
91,"spotify:track:6qo8v2y2MHUSPLs7VBc6cG","Jonathan Bailey, Ariana Grande, Ethan Slater, Marissa Bode, Cynthia Erivo","Dancing Through Life","Universal Studios and Republic Records",9,95,39
92,"spotify:track:1osfLqL6L2iQsirRf83ded","Riley Green","Worst Way","Nashville Harbor",17,-1,257
93,"spotify:track:2mNGL7mZILSqZHxGboJaO9","Yeat","COMË N GO","Lyfestyle Corporation/Field Trip Recordings/Capitol Records",22,97,101
94,"spotify:track:6r1lboTadi5swMquaAWDzh","BigXthaPlug, Ella Langley","Hell At Night (feat. Ella Langley)","BigXthaPlug under exclusive license to UnitedMasters LLC",3,-1,48
95,"spotify:track:5ooqCHqs4axSJbWqIHfKfB","HIM","Join Me In Death","BMG Rights Management (US) LLC",58,99,21
96,"spotify:track:5IB4ugsKzjD4hWuIEFZtAE","SEU Worship, ONE HOUSE, Kenzie Walker, Chelsea Plank, Roosevelt Stewart","What A God - Live","Essential Worship",35,92,69
97,"spotify:track:1HbzxLqpNVPdiBXvpC7Ovb","The Red Clay Strays","Wondering Why","Red Clay Strays",1,-1,623
98,"spotify:track:7gwGD2p8hy7Rphsx6n9NTL","49 Winchester","Changes","New West Records/Lucille Records/Music Corporation of America",95,-1,2
99,"spotify:track:5MqzNAzRgVj2dfp30LJ6s1","Kehlani","Out The Window","TSNMI / Atlantic",86,96,3
100,"spotify:track:0JAaTG7sEjukCjC8X58puq","Florence + The Machine","Buckle","Florence + The Machine",34,-1,9
