rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart
1,"spotify:track:5nC5a57UgrSg1mUxsz1P9D","22xlstl","We Are Charlie Kirk","22XELESTIAL / AMM Ventures, LLC",1,1,8
2,"spotify:track:7i6II9P0ZbZegC4nvMzGLz","Bershy","Radio","Bridge Between Records",1,2,13
3,"spotify:track:3MNCLvaxxaJ5SbtYxxtrRd","eli.","heavens in ashes","10702597 Records DK",3,3,4
4,"spotify:track:7BYVb8ueEqGvcnPJWXihSt","Stephen Schwartz, Idina Menzel, Stephen Oremus","No Good Deed - From ""Wicked"" Original Broadway Cast Recording/2003","Verve (Adult Contemporary)",2,4,55
5,"spotify:track:1WwQ714xuznu44tEnkem2g","HAVEN., Kaitlin Aragon","I Run","Isekai / Broke / AAO",5,-1,1
6,"spotify:track:4RvaI6d8mWCfEcGffUN52w","Olga Myko","use me!!!!!!!","Olga Myko",4,6,13
7,"spotify:track:10zEjN1uWiYKSLo01BGlJx","Adam Sandler","The Thanksgiving Song","Warner Records",4,-1,36
8,"spotify:track:2pHClPIG7C5v9Qhd1LHS2y","Stephen Schwartz, Idina Menzel, Leo Norbert Butz, Stephen Oremus","As Long As You're Mine","UME - Global Clearing House",1,5,36
9,"spotify:track:7M78H9F98Pe45Qlu8M15sV","untitled","Restless","Pirateship Records",9,-1,1
10,"spotify:track:5W9YtUsoXA547TTPJUXvns","Annabelle Dinda","The Hand","Annabelle Dinda",6,7,3
11,"spotify:track:0l5v3DyJqO2q5Dy6cplOmN","Cain Walker","I Don't Care","Crusty Records",8,8,4
12,"spotify:track:554qQSs9lpRVq6TlaaiIKT","EsDeeKid","4 Raws","Lizzy Records",7,9,75
13,"spotify:track:2ggP6WjaTsloaiBxXY5JB7","Elevation Worship, Chandler Moore","God I'm Just Grateful","Elevation Worship Records",11,12,4
14,"spotify:track:17HsyeI0Eq06n3XRntZ4DT","Breaking Rust","Walk My Walk","Breaking Rust",1,11,24
15,"spotify:track:0myPb7rgTdf5dTHnfwdvO9","Hazbin Hotel, Jessica Vosk, Alex Brightman, Sam Haft, Andrew Underberg","Gravity","Atlantic Records",1,14,32
16,"spotify:track:2zS3syUBiTkYqJRm9Tn52h","Cynthia Erivo, Ariana Grande, Idina Menzel, Kristin Chenoweth","For Good - Live from the Gershwin Theatre","Wicked Soundtrack",7,10,4
17,"spotify:track:65DbTqJKhbwqYbZ1Okr0rc","Ella Langley","Choosin' Texas","SAWGOD/Columbia",5,15,25
18,"spotify:track:0myRViRgmQ3J8izICXEAVO","She & Him","I Thought I Saw Your Face Today","Merge Records",14,16,26
19,"spotify:track:7xm4LAfV1lMn7rMJhO4ce6","THOT SQUAD","HOES DEPRESSED","THOT SQUAD",3,13,18
20,"spotify:track:55lijDD6OAjLFFUHU9tcDm","RAYE","WHERE IS MY HUSBAND!","Human Re Sources",1,18,53
21,"spotify:track:2hY9mOKGblxfNFl2GOQKj4","JMSN","Love Me","JMSN",12,21,17
22,"spotify:track:7lhb3fFKswRpLMWR4zG4zK","Cain Walker","Ain't My Problem","Crusty Records",1,20,17
23,"spotify:track:4oVO4fGNRRvEn0CRuFO4qv","ROSALÍA, Yahritza Y Su Esencia","La Perla","Columbia",12,17,4
24,"spotify:track:3fBLo7dnG5CSepoXgu3B53","Breaking Rust","Livin’ on Borrowed Time","Breaking Rust",2,23,24
25,"spotify:track:54uoj9Bb6k97wSQ9MezOYU","Buffalo Traffic Jam","Fool's Gold","Arista Records",8,22,46
26,"spotify:track:1lJOLxDS8kS2rihrqezMcv","EsDeeKid","Century","Lizzy Records",25,26,11
